Time: 1616658335, System 2, ERROR: Ping timed out.
Time: 1616658339, System 1, Ping: 674
Time: 1616658339, System 2, Ping: 546
Time: 1616658349, System 1, Ping: 585
Time: 1616658350, System 2, Ping: 841
Time: 1616658359, System 1, Ping: 822
Time: 1616658360, System 2, Ping: 1157
Time: 1616658369, System 1, Ping: 610
Time: 1616658370, System 2, Ping: 977
Time: 1616658379, System 1, Ping: 1079
Time: 1616658380, System 2, Ping: 433
Time: 1616658389, System 1, Ping: 902
Time: 1616658390, System 2, Ping: 512
Time: 1616658399, System 1, Ping: 782
Time: 1616658400, System 2, Ping: 930
Time: 1616658410, System 1, Ping: 1380
Time: 1616658410, System 2, Ping: 423
Time: 1616658419, System 1, Ping: 701
Time: 1616658420, System 2, Ping: 872
Time: 1616658430, System 1, Ping: 1387
Time: 1616658438, System 2, ERROR: Ping timed out.
Time: 1616658440, System 1, Ping: 1227
Time: 1616658441, System 2, Ping: 747
Time: 1616658450, System 1, Ping: 622
Time: 1616658450, System 2, Ping: 574
Time: 1616658466, System 1, Ping: 6480
Time: 1616658466, System 2, Ping: 765
Time: 1616658470, System 1, Ping: 1239
Time: 1616658471, System 2, Ping: 764
Time: 1616658480, System 1, Ping: 788
Time: 1616658481, System 2, Ping: 506
Time: 1616658490, System 1, Ping: 577
Time: 1616658492, System 2, Ping: 1220
Time: 1616658501, System 1, Ping: 761
Time: 1616658502, System 2, Ping: 755
Time: 1616658510, System 1, Ping: 405
Time: 1616658512, System 2, Ping: 1212
Time: 1616658521, System 1, Ping: 511
Time: 1616658521, System 2, Ping: 438
Time: 1616658536, System 1, ERROR: Ping timed out.
Time: 1616658537, System 2, Ping: 764
Time: 1616658542, System 1, Ping: 1329
Time: 1616658542, System 2, Ping: 724
Time: 1616658551, System 1, Ping: 516
Time: 1616658552, System 2, Ping: 690
Time: 1616658562, System 1, Ping: 1202
Time: 1616658562, System 2, Ping: 453
Time: 1616658572, System 1, Ping: 1102
Time: 1616658572, System 2, Ping: 599
Time: 1616658582, System 1, Ping: 1007
Time: 1616658582, System 2, Ping: 546
Time: 1616658592, System 1, Ping: 716
